date,apy,tvl_usd
2024-11-01,4.30427,192508362
2024-11-02,4.258,201366795
2024-11-03,4.26043,201102056
2024-11-04,4.13194,226699763
2024-11-05,4.06752,239872615
2024-11-06,6.55225,143708494
2024-11-07,8.42559,140125847
2024-11-08,4.55287,146213688
2024-11-09,4.49212,161119228
2024-11-10,6.67912,144676959
2024-11-11,4.51347,157400640
2024-11-12,4.49381,158831648
2024-11-13,3.78769,328325729
2024-11-14,4.13959,250507202
2024-11-15,4.17308,247006948
2024-11-16,4.51392,172961764
2024-11-17,5.11032,163901406
2024-11-18,4.5509,169446291
2024-11-19,13.1542,146890717
2024-11-20,7.30469,162857045
2024-11-21,7.13824,167254599
2024-11-22,8.72636,166207224
2024-11-23,7.69435,171981381
2024-11-24,4.43791,210499740
2024-11-25,4.5401,187265890
2024-11-26,4.52284,191912943
2024-11-27,9.31937,169089857
2024-11-28,4.54547,186417628
2024-11-29,4.50273,202148226
2024-11-30,8.00385,179951028
2024-12-01,9.6278,175554705
2024-12-02,29.19696,117043801
2024-12-03,13.43745,161670904
2024-12-04,16.55273,153494277
2024-12-05,9.34018,177703274
2024-12-06,14.38128,168744897
2024-12-07,4.50723,218597855
2024-12-08,6.69117,197030959
2024-12-09,17.25861,163584209
2024-12-10,11.9057,182568806
2024-12-11,14.46671,174931950
2024-12-12,4.4312,247381605
2024-12-13,8.38286,200530983
2024-12-14,4.19405,330579571
2024-12-15,4.39797,271449923
2024-12-16,10.10772,259940630
2024-12-17,10.09064,262559865
2024-12-18,10.18314,251888989
2024-12-19,9.93428,285765953
2024-12-20,9.34772,367481641
2024-12-21,8.84618,449416806
2024-12-22,8.63781,483087873
2024-12-23,9.20827,392456772
2024-12-24,8.58205,495636437
2024-12-25,8.53971,504713621
2024-12-26,8.31023,548948123
2024-12-27,8.247,562452790
2024-12-28,7.60096,685287554
2024-12-29,6.81821,865921469
2024-12-30,7.78914,639941034
2024-12-31,7.41604,714551380
2025-01-01,6.08619,1050465600
2025-01-02,6.76524,869803689
2025-01-03,7.80485,636428394
2025-01-04,7.73115,653127055
2025-01-05,7.46655,703140019
2025-01-06,7.71516,657225188
2025-01-07,18.2921,159069270
2025-01-08,8.88274,432404811
2025-01-09,7.68092,647807971
2025-01-10,7.34142,726395631
2025-01-11,7.1728,762870750
2025-01-12,6.87464,828551514
2025-01-13,6.78902,841943988
2025-01-14,6.6447,809051511
2025-01-15,6.78495,775053434
2025-01-16,6.93877,736520774
2025-01-17,7.10533,705688591
2025-01-18,6.33449,890865745
2025-01-19,6.50666,863242172
2025-01-20,6.97818,754241511
2025-01-21,7.12073,715038177
2025-01-22,7.57672,615838265
2025-01-23,6.72921,807124417
2025-01-24,6.85605,784999181
2025-01-25,6.56326,853660036
2025-01-26,6.62548,839970954
2025-01-27,8.95123,372494838
